comparison_type,context,group_label,source_file,instance,scale,solver,method,metric,value
pairwise,result_classical | All | Greedy,Uncoarsened Greedy,result_classical.json,C101,All,Greedy,Uncoarsened,time_window_violations,0.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R110,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R111,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R112,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R201,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R202,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R203,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R204,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R205,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R206,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R207,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R208,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R209,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R210,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,R211,N10,FullQubo,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC101,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC102,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC103,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC104,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC105,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC106,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC107,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC108,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC201,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC202,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC203,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC204,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC205,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC206,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC207,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened FQS,result_quantum_10customer.json,RC208,N10,FullQubo,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C101,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C102,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C103,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C104,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C105,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C106,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C107,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C108,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C109,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C201,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C202,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C203,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C204,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C205,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C206,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C207,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,C208,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R101,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R102,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R103,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R104,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R105,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R106,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R107,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R108,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R109,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R110,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R111,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R112,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R201,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R202,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R203,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R204,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R205,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R206,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R207,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R208,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R209,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R210,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,R211,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC101,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC102,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC103,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC104,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC105,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC106,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC107,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC108,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC201,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC202,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC203,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC204,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC205,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC206,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC207,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened APS,result_quantum_10customer.json,RC208,N10,AveragePartitionSolver,Uncoarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C101,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C102,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C103,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C104,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C105,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C106,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C107,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C108,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C109,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C201,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C202,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C203,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C204,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C205,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C206,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C207,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,C208,N10,AveragePartitionSolver,Coarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R101,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R102,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R103,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R104,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R105,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R106,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R107,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R108,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R109,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R110,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R111,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R112,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R201,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R202,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R203,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R204,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R205,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R206,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R207,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R208,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R209,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R210,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,R211,N10,AveragePartitionSolver,Coarsened,total_demand_served,124.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC101,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC102,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC103,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC104,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC105,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC106,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC107,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC108,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC201,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC202,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC203,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC204,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC205,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC206,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC207,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Coarsened APS,result_quantum_10customer.json,RC208,N10,AveragePartitionSolver,Coarsened,total_demand_served,220.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C101,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C102,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C103,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C104,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C105,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C106,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C107,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C108,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C109,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C201,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C202,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C203,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C204,N10,ORTools,Uncoarsened,total_demand_served,150.0
quantum_vs_ortools_combined,N10 | FQS and APS vs OR-Tools,Uncoarsened OR-Tools,results_ortools_quantum_benchmark.json,C205,N10,ORTools,Uncoarsened,total_demand_served,150.0
